,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,34,27,7,.794,-1.91,-7.34,14,4,13,2,10,4,2502,2161,,67.2,108.6,.336,.345,.565,50.3,58.5,12.9,8.0,.535,15.5,28.8,.239
2,Air Force,32,14,18,.438,-4.28,0.24,8,10,9,6,3,9,2179,2294,,67.4,99.5,.283,.400,.541,50.1,54.1,7.0,5.8,.517,17.4,23.7,.192
3,Akron,33,17,16,.515,4.86,1.09,8,10,14,3,1,10,2271,2107,,68.5,100.1,.277,.477,.515,48.2,50.1,8.2,8.9,.485,15.0,25.3,.195
4,Alabama A&M,32,5,27,.156,-19.23,-8.38,4,14,4,7,0,18,1938,2285,,67.5,88.7,.250,.320,.479,47.1,52.3,10.7,4.7,.457,19.4,27.6,.157
5,Alabama-Birmingham,35,20,15,.571,0.36,-1.52,10,8,11,5,6,6,2470,2370,,66.6,105.2,.315,.346,.536,52.7,44.3,9.3,7.5,.511,14.8,30.4,.212
6,Alabama State,31,12,19,.387,-15.60,-7.84,9,9,8,3,3,13,2086,2235,,69.6,95.9,.388,.382,.499,49.0,44.0,9.3,9.3,.465,17.8,30.9,.253
7,Alabama,34,18,16,.529,9.45,9.01,8,10,10,6,4,8,2448,2433,,69.8,102.8,.380,.369,.533,52.0,48.8,6.6,11.6,.503,16.8,31.5,.253
8,Albany (NY),32,12,20,.375,-9.38,-6.70,7,9,6,8,6,10,2150,2216,,66.7,99.2,.322,.451,.533,49.7,55.2,9.0,7.1,.494,18.4,27.1,.240
9,Alcorn State,31,10,21,.323,-22.08,-8.97,6,12,10,3,0,17,1995,2194,,68.8,93.2,.316,.375,.504,49.9,55.1,10.7,9.8,.473,19.9,30.1,.213
10,American,30,15,15,.500,-4.19,-7.23,9,9,8,7,6,8,2161,2070,,67.7,104.6,.358,.355,.561,50.4,51.5,10.7,11.0,.532,16.7,26.1,.250
11,Appalachian State,32,11,21,.344,-3.73,0.10,6,12,9,5,2,12,2557,2539,,73.7,107.6,.364,.420,.562,48.6,46.1,7.2,6.9,.529,15.5,26.5,.261
12,Arizona State NCAA,34,23,11,.676,10.28,6.04,12,6,13,3,6,5,2638,2494,,72.5,105.4,.438,.355,.543,52.6,51.1,8.5,9.6,.506,16.1,31.3,.298
13,Arizona,32,17,15,.531,8.32,6.32,8,10,12,5,4,7,2269,2205,,68.6,102.6,.333,.376,.526,50.5,50.1,7.5,6.6,.490,14.7,28.4,.240
14,Little Rock,31,10,21,.323,-4.87,-2.07,5,13,7,9,3,12,2301,2353,,72.7,101.2,.417,.345,.569,49.8,54.2,7.4,8.6,.545,19.9,24.1,.273
15,Arkansas-Pine Bluff,32,13,19,.406,-14.43,-8.18,10,8,8,2,4,17,2108,2269,,67.3,96.3,.417,.341,.522,49.4,50.8,9.9,9.5,.484,19.1,29.1,.282
16,Arkansas State,32,13,19,.406,-7.10,-1.23,7,11,10,4,2,13,2359,2475,,70.2,102.6,.379,.372,.525,51.5,45.6,8.0,11.8,.480,16.6,33.2,.278
17,Arkansas,34,18,16,.529,11.75,8.78,8,10,12,6,5,8,2559,2458,,71.7,104.2,.384,.375,.540,47.0,60.8,11.2,15.4,.510,16.0,28.3,.256
