away_assist_percentage,    				AST%
away_assists,							AST	
away_block_percentage,					BLK%	
away_blocks,							BLK
away_defensive_rebounds,				Team.defensive_rebounds
away_effective_field_goal_percentage,	eFG%	
away_field_goal_attempts,				FGA
away_field_goal_percentage,				FG%
away_field_goals,						FG
away_free_throw_attempt_rate,			FTr
away_free_throw_attempts,				FTA
away_free_throw_percentage,				FT%
away_free_throws,						FT
away_losses,							L.3
away_minutes_played,					MP
away_offensive_rating,					ORtg
away_offensive_rebound_percentage,		ORB%	
away_offensive_rebounds,				ORB
away_personal_fouls,					PF
away_steal_percentage,					STL%	
away_steals,							STL
away_three_point_attempt_rate,			3PAr
away_three_point_field_goal_attempts,	3PA
away_three_point_field_goal_percentage,	3P%
away_three_point_field_goals,			3P
away_total_rebound_percentage,			TRB%	
away_total_rebounds,					TRB
away_true_shooting_percentage,			TS%	
away_turnover_percentage,				TOV%
away_turnovers,							TOV
away_two_point_field_goal_attempts,		Team.two_point_field_goal_attempts
away_two_point_field_goal_percentage,	Team.two_point_field_goal_percentage
away_two_point_field_goals,				Team.two_point_field_goals
away_win_percentage,					W-L%		
away_wins								W
	
